Reach to Deadlock States:
----------------------------------------------------------------------
| No. | State       | Previous State | Transition           |
| 334 | (2, 7, 5, 1) | (1, 7, 5, 1) | t(1,2)               |
| 335 | (2, 7, 5, 2) | (1, 7, 5, 2) | t(1,2)               |
| 336 | (2, 7, 0, 1) | (1, 7, 5, 1) | t(3,0)               |
| 337 | (2, 7, 0, 2) | (1, 7, 5, 2) | t(3,0)               |
| 338 | (3, 6, 5, 1) | (2, 5, 4, 1) | t(3,5)               |
| 339 | (3, 6, 5, 2) | (2, 5, 4, 2) | t(3,5)               |
| 340 | (3, 6, 0, 1) | (2, 5, 5, 0) | t(4,1)               |
| 341 | (3, 7, 5, 1) | (2, 6, 4, 1) | t(3,5)               |
| 342 | (3, 7, 5, 2) | (2, 6, 5, 2) | t(2,7)               |
| 343 | (3, 7, 0, 1) | (2, 6, 5, 0) | t(4,1)               |
